nodeName,altName,"nodeAttr[nodesPresent, ]"
SFN,NA,turquoise
TKT,NA,turquoise
SLC2A5,NA,turquoise
FNDC4,NA,turquoise
FNDC5,NA,turquoise
TXNRD1,NA,turquoise
BEND3,NA,turquoise
CRP,NA,turquoise
SERP2,NA,turquoise
IL32,NA,turquoise
STAT1,NA,turquoise
CHI3L1,NA,turquoise
SRSF8,NA,turquoise
THPO,NA,turquoise
SLC1A4,NA,turquoise
TAGLN2,NA,turquoise
TUSC1,NA,turquoise
PLEKHG2,NA,turquoise
ZNF783,NA,turquoise
FZD6,NA,turquoise
HIGD1A,NA,turquoise
CLGN,NA,turquoise
RNF157,NA,turquoise
SSX3,NA,turquoise
SEPTIN9,NA,turquoise
TLCD1,NA,turquoise
FAM83H,NA,turquoise
CNOT11,NA,turquoise
DTX1,NA,turquoise
CD14,NA,turquoise
TGFB3,NA,turquoise
PIM3,NA,turquoise
ALAS1,NA,turquoise
ITIH4,NA,turquoise
TPST1,NA,turquoise
VOPP1,NA,turquoise
DHODH,NA,turquoise
ICK,NA,turquoise
FAM20C,NA,turquoise
TAP1,NA,turquoise
TNFAIP1,NA,turquoise
CSNK1E,NA,turquoise
AACS,NA,turquoise
SLC22A15,NA,turquoise
ZNF544,NA,turquoise
HJURP,NA,turquoise
LPGAT1,NA,turquoise
KLHL25,NA,turquoise
HOOK1,NA,turquoise
PLEKHA4,NA,turquoise
LRG1,NA,turquoise
CKAP4,NA,turquoise
GALNT2,NA,turquoise
B3GNTL1,NA,turquoise
SALL1,NA,turquoise
ETV6,NA,turquoise
CCT6A,NA,turquoise
ADRB2,NA,turquoise
OAF,NA,turquoise
TMEM184A,NA,turquoise
LYSMD4,NA,turquoise
CSNK1D,NA,turquoise
TUFT1,NA,turquoise
PXDC1,NA,turquoise
DNAJC4,NA,turquoise
TAP2,NA,turquoise
MYC,NA,turquoise
GLRX,NA,turquoise
IL4R,NA,turquoise
ACTRT3,NA,turquoise
HSPA4,NA,turquoise
PLPP3,NA,turquoise
TINAG,NA,turquoise
APOL6,NA,turquoise
MVP,NA,turquoise
PRKAB1,NA,turquoise
COPA,NA,turquoise
AGFG1,NA,turquoise
RAB27A,NA,turquoise
HTR4,NA,turquoise
C4orf19,NA,turquoise
DESI2,NA,turquoise
PTP4A1,NA,turquoise
C1orf198,NA,turquoise
TMEM201,NA,turquoise
SIRPA,NA,turquoise
ASB16,NA,turquoise
RIPK4,NA,turquoise
SEMA3F,NA,turquoise
YPEL2,NA,turquoise
SSR1,NA,turquoise
KIF18B,NA,turquoise
HDAC4,NA,turquoise
MCM3AP-AS1,NA,turquoise
WBP1L,NA,turquoise
RAB43,NA,turquoise
SSBP4,NA,turquoise
HEY1,NA,turquoise
PUSL1,NA,turquoise
SHB,NA,turquoise
LIG3,NA,turquoise
PSMG3,NA,turquoise
SPTBN1,NA,turquoise
GADD45B,NA,turquoise
UBP1,NA,turquoise
DST,NA,turquoise
STK40,NA,turquoise
IL1R1,NA,turquoise
FARSB,NA,turquoise
C1orf109,NA,turquoise
FAT1,NA,turquoise
NMNAT3,NA,turquoise
BACH2,NA,turquoise
SLC16A5,NA,turquoise
TUB,NA,turquoise
WNK2,NA,turquoise
HGH1,NA,turquoise
COMMD5,NA,turquoise
ZHX1-C8orf76,NA,turquoise
CEBPD,NA,turquoise
FOXO1,NA,turquoise
SERPINA10,NA,turquoise
SERPINA1,NA,turquoise
RHBDL2,NA,turquoise
DNAH2,NA,turquoise
MICAL1,NA,turquoise
RASD1,NA,turquoise
GRAPL,NA,turquoise
RANBP2,NA,turquoise
SMARCA2,NA,turquoise
ARHGEF5,NA,turquoise
NAV1,NA,turquoise
DENND5A,NA,turquoise
BRCA2,NA,turquoise
ARHGEF12,NA,turquoise
DNAH14,NA,turquoise
PIKFYVE,NA,turquoise
INSR,NA,turquoise
CDC7,NA,turquoise
DDX46,NA,turquoise
KHSRP,NA,turquoise
SRSF6,NA,turquoise
SETX,NA,turquoise
ATL3,NA,turquoise
CHD5,NA,turquoise
CFAP61,NA,turquoise
HIVEP1,NA,turquoise
ANKRD12,NA,turquoise
FAM129A,NA,turquoise
DENND4A,NA,turquoise
COL5A3,NA,turquoise
ADAMTS9,NA,turquoise
HGF,NA,turquoise
DIS3L2,NA,turquoise
TNXB,NA,turquoise
CDH19,NA,turquoise
NSD1,NA,turquoise
LCE1E,NA,turquoise
GMPS,NA,turquoise
ZNF202,NA,turquoise
UBAP2L,NA,turquoise
DTNA,NA,turquoise
CREB3L3,NA,turquoise
MELK,NA,turquoise
CLCN1,NA,turquoise
EXO1,NA,turquoise
CDHR2,NA,turquoise
